local_hour,delta_FSA,Total
0,0.00063989306,0
1,0.0005917881,0
2,0.0016413071,0
3,0.009489385,0
4,0.0643569,0
5,0.2791109,0
6,0.26427072,0
7,-0.04674852,0
8,1.9467213,0
9,5.0213785,0
10,6.8369837,0
11,8.350497,0
12,9.031851,0
13,8.951446,0
14,8.314904,0
15,6.66687,0
16,4.0368495,0
17,0.84480107,0
18,-0.87931675,0
19,0.16774681,0
20,0.30968252,0
21,0.066651985,0
22,0.008493704,0
23,0.0018903584,0
