local_hour,hw_nohw_diff_U10,Total
0,0.046990987,0
1,0.030176964,0
2,0.010111466,0
3,-0.004046306,0
4,-0.018577915,0
5,-0.04763212,0
6,-0.08180989,0
7,-0.14511186,0
8,-0.19674581,0
9,-0.19974971,0
10,-0.1771251,0
11,-0.1559787,0
12,-0.13337547,0
13,-0.109600976,0
14,-0.07323801,0
15,-0.036946964,0
16,-0.011510357,0
17,0.01028312,0
18,0.025555164,0
19,0.038481493,0
20,0.05474041,0
21,0.065885864,0
22,0.06634215,0
23,0.059127636,0
