local_hour,Double_Differencing_FGR,Total
0,-15.454396,0
1,-15.236199,0
2,-14.984226,0
3,-14.574341,0
4,-13.493409,0
5,-11.097326,0
6,-6.899891,0
7,-0.780713,0
8,5.5528946,0
9,12.65653,0
10,18.422113,0
11,20.107948,0
12,18.882853,0
13,16.65514,0
14,12.187157,0
15,5.6602445,0
16,-1.588036,0
17,-7.6473427,0
18,-13.449978,0
19,-18.2874,0
20,-18.162489,0
21,-17.010696,0
22,-16.399763,0
23,-15.861031,0
