local_hour,hw_nohw_diff_SOILWATER_10CM,Total
0,-4.475229,0
1,-4.475747,0
2,-4.494564,0
3,-4.4918494,0
4,-4.4907813,0
5,-4.480193,0
6,-4.481797,0
7,-4.487179,0
8,-4.4723787,0
9,-4.456253,0
10,-4.4420056,0
11,-4.441516,0
12,-4.449562,0
13,-4.4566207,0
14,-4.4609895,0
15,-4.4651875,0
16,-4.4753823,0
17,-4.4872456,0
18,-4.503029,0
19,-4.5043836,0
20,-4.509816,0
21,-4.505644,0
22,-4.4917445,0
23,-4.478221,0
