local_hour,FSH,Total
0,-0.027141290201472,-0.027141290201472
1,-0.0274658812844661,-0.0274658812844661
2,-0.0268103487277638,-0.0268103487277638
3,-0.0260853890885591,-0.0260853890885591
4,-0.0261773524885644,-0.0261773524885644
5,-0.0180576017887084,-0.0180576017887084
6,-0.0052987940611499,-0.0052987940611499
7,-0.0013643816628219,-0.0013643816628219
8,0.0085984514218193,0.0085984514218193
9,0.0213224626265329,0.0213224626265329
10,0.0249436711615814,0.0249436711615814
11,0.0148478047202548,0.0148478047202548
12,0.0134826484381893,0.0134826484381893
13,0.0102965697610521,0.0102965697610521
14,0.0098119043493614,0.0098119043493614
15,0.0089398209367843,0.0089398209367843
16,0.0083918701740825,0.0083918701740825
17,0.0081959919735278,0.0081959919735278
18,0.005819631107098,0.005819631107098
19,-0.0145259661683885,-0.0145259661683885
20,-0.0268862807185383,-0.0268862807185383
21,-0.0275483076564689,-0.0275483076564689
22,-0.028023082350171,-0.028023082350171
23,-0.0272340231552432,-0.0272340231552432
