local_hour,hw_nohw_diff_FSH,Total
0,-2.765416,0
1,-2.734235,0
2,-2.8128686,0
3,-2.7166765,0
4,-2.7550893,0
5,-4.0899086,0
6,-5.869029,0
7,-6.523942,0
8,-5.755873,0
9,-0.729213,0
10,8.968596,0
11,18.59445,0
12,26.691586,0
13,31.105125,0
14,30.153519,0
15,22.49701,0
16,11.595239,0
17,2.564961,0
18,-3.9476867,0
19,-5.1030936,0
20,-3.4288259,0
21,-2.9230838,0
22,-2.7885847,0
23,-2.742592,0
