local_hour,Double_Differencing_FIRA,Total
0,3.5086443,0
1,3.5355153,0
2,3.5813534,0
3,3.5996392,0
4,3.652563,0
5,3.9424927,0
6,4.213745,0
7,3.2623205,0
8,1.4956131,0
9,-0.096158296,0
10,-1.1834818,0
11,-1.7830973,0
12,-2.3598595,0
13,-2.5533233,0
14,-1.9350339,0
15,-0.45582473,0
16,1.2657484,0
17,2.9307578,0
18,4.2436132,0
19,4.1869383,0
20,3.7008626,0
21,3.6036136,0
22,3.5445998,0
23,3.5133975,0
