local_hour,hw_nohw_diff_Qstor,Total
0,-1.2481856,0
1,-1.3856103,0
2,-1.5795509,0
3,-1.7951862,0
4,-2.0476887,0
5,-2.3367367,0
6,-2.1850948,0
7,0.6674403,0
8,6.09772,0
9,12.573159,0
10,17.497871,0
11,18.62696,0
12,18.696299,0
13,17.859245,0
14,15.280815,0
15,10.808491,0
16,6.6602464,0
17,3.5533617,0
18,0.72591996,0
19,-0.8802787,0
20,-0.7598529,0
21,-0.75616395,0
22,-1.0094386,0
23,-1.1579573,0
